105	4439	1
7698	4420	3
127	3159	4
106	4390	1
10818	1756	4
108	677	5
3061	3884	1
107	9870	2
110	4910	2
119	3249	3
124	942	1
103	1171	1
118	5596	2
188	7120	1
14	3728	7
14	5107	8
523	2697	2
102	8702	3
109	2734	0
114	3924	0
732	1595	0
288	7619	3
102	9463	1
102	9017	3
147	7455	8
105	9685	2
14	8850	5
14	1234	8
102	3580	1
105	7350	2
141	7190	3
1027	7399	6
2317	596	0
119	3126	1
104	6839	0
108	1698	3
107	5445	1
363	5251	1
138	868	1
1	9986	4
102	6746	3
128	466	1
14	2521	7
57	2837	0
14	9691	5
108	2186	4
7823	4928	0
14	6454	5
142	114	0
14	7928	7
154	7592	3
21	964	9
21	9604	4
1838	6783	1
8219	5627	1
128	4735	4
14	5010	7
151	4171	6
129	6928	4
101	9617	2
1007	562	0
12064	3580	5
103	6545	1
634	582	1
220	9273	3
2380	1686	0
12	8857	11
2649	4871	7
110	4779	5
103	2553	1
9909	6359	1
4120	5653	1
3040	7197	4
117	8349	0
14	5339	7
7866	6060	8
13556	990	2
135	9858	0
9033	8789	4
105	762	4
930	6530	2
602	8698	3
109	2722	1
3495	6073	8
986	7837	1
602	5361	6
290	2244	1
157	9704	1
241	2736	1
218	7679	1
9590	225	1
1422	2780	2
13865	6765	6
134	7849	2
892	5822	8
14	7219	6
303	7463	1
669	1540	5
944	9871	1
2648	6561	3
343	5816	4
273	3519	4
4010	7376	5
14	2517	6
232	2286	2
541	620	10
21	4358	7
101	1586	1
215	822	3
125	5936	0
6355	1566	9
3461	4709	0
105	4795	2
14074	6399	1
2214	4151	5
14	5628	5
14	3921	8
7958	453	1
14	26	5
14	6839	8
3727	2684	2
14	1299	7
2454	4375	1
5837	4486	1
101	786	5
4036	387	1
274	9465	4
6212	5692	2
6475	1438	5
2406	2574	0
501	9088	6
14	3478	8
1593	9160	0
236	7719	3
106	5956	2
103	447	4
368	6993	7
107	3625	3
270	2362	1
101	8085	2
945	205	2
102	4894	3
14	7678	8
13103	4405	4
123	4260	8
14	8467	8
186	8023	2
116	9879	4
124	5290	6
116	528	9
103	2137	1
3086	6482	2
117	7959	0
1517	9623	2
783	7964	4
106	5837	4
102	2393	2
2711	3544	6
244	825	4
103	753	2
169	1976	2
7233	6847	6
367	1617	1
127	9593	3
1409	4359	2
4025	8499	3
765	571	2
1149	4600	0
189	4646	9
14	9335	4
105	6163	1
157	2570	1
220	3931	7
314	922	2
4362	4673	6
460	3685	2
2156	1710	1
438	8657	0
828	6441	4
9008	8807	0
111	6287	2
7269	7251	1
106	8195	4
14	9714	3
111	708	2
10519	5613	1
113	2463	0
8459	5748	0
14	9814	9
2546	1532	1
862	8542	1
10167	3548	2
166	9650	1
1487	4259	1
14	721	4
144	823	0
10763	1957	5
105	6078	1
13019	1481	4
14	4345	6
526	5461	4
7200	4498	1
124	7203	8
262	4264	3
